time (seconds); nrOfGames; discountFactor; exploreProbability; learningRate; result; score; 
1292100358; 878; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292100361; 879; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
1292100737; 980; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292100741; 981; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292100744; 982; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292100748; 983; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292100754; 984; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292100757; 985; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292100761; 986; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292100764; 987; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292100768; 988; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292100771; 989; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292101528; 210; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292101532; 211; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292101536; 212; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292101539; 213; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292101543; 214; 0.900000; 0.050000; 0.050000; "LOST"; -0.793750; 
1292101546; 215; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
1292101550; 216; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292101556; 217; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292101560; 218; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292101563; 219; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292101982; 320; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292101986; 321; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292101989; 322; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
1292101993; 323; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
1292101996; 324; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292102000; 325; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292102003; 326; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
1292102006; 327; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292102012; 328; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292102016; 329; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292102394; 430; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292102398; 431; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292102401; 432; 0.900000; 0.050000; 0.050000; "LOST"; -0.906250; 
1292102404; 433; 0.900000; 0.050000; 0.050000; "LOST"; -0.831250; 
1292102408; 434; 0.900000; 0.050000; 0.050000; "LOST"; -0.868750; 
1292102413; 435; 0.900000; 0.050000; 0.050000; "WON"; 0.150000; 
1292102417; 436; 0.900000; 0.050000; 0.050000; "LOST"; -0.825000; 
1292102420; 437; 0.900000; 0.050000; 0.050000; "LOST"; -0.800000; 
